Date,Open,High,Low,Close,Weighted,Volume
2013-09-20 15:09:00,125.93,188.1,124.3,131.87,133.370387,20996.5
2013-09-20 19:09:00,131.87,186.87,116.96,168.05,133.001872,48314.26
2013-09-20 23:09:00,168.05,191.33,113.7,153.94,132.109384,52706.36
2013-09-21 03:09:00,153.94,205,117.35,124.8,137.235964,17843.42
2013-09-21 07:09:00,124.8,184.71,114.63,146.03,138.775541,3653.96
2013-09-21 11:09:00,146.03,153.53,131.14,153.53,137.863051,299.99
2013-09-21 15:09:00,153.53,154.85,125.82,125.82,136.186179,9341.01
2013-09-21 19:09:00,125.82,206.28,99.18,139.37,136.555704,37703.03
2013-09-21 23:09:00,139.37,185.48,120.15,152.9,137.847179,19447.48
2013-09-22 03:09:00,152.9,185.1,120.81,166.79,134.995655,6213.85
2013-09-22 07:09:00,166.79,166.79,122.02,128,127.579541,6784.68
2013-09-22 11:09:00,128,153.36,125.74,140.19,136.556965,1195.01
2013-09-22 15:09:00,140.19,167.09,130.95,130.95,143.239635,1115.98
2013-09-22 19:09:00,130.95,184.5,112.88,129.07,137.009422,5525.59
2013-09-22 23:09:00,129.07,184.52,114.49,154.49,132.264258,21892.38
2013-09-23 03:09:00,154.49,184.89,123.19,141.63,134.502729,10351.33
2013-09-23 07:09:00,141.63,185.6,122.91,123.11,144.76474,2479.82
2013-09-23 11:09:00,123.11,150.35,123.11,135.71,142.756433,405
2013-09-23 15:09:00,135.71,184.5,122.05,132.83,133.151792,26377.37
2013-09-23 19:09:00,132.83,185.98,119.88,184.4,132.480123,89845.37
2013-09-23 23:09:00,184.4,193.04,120.4,143.91,131.465791,73766.77
2013-09-24 03:09:00,143.91,185.01,119.27,132.73,134.427008,16952.59
2013-09-24 07:09:00,132.73,184.64,103.63,129.68,131.845505,5470.27
2013-09-24 11:09:00,129.68,153.67,128.62,143.38,134.656318,1864.99
2013-09-24 15:09:00,143.38,153.05,122.44,135.64,130.930079,31514.87
2013-09-24 19:09:00,135.64,184.02,118.89,140.22,131.35197,82695.26
2013-09-24 23:09:00,140.22,185.97,120.1,132.42,131.462953,78138.95
2013-09-25 03:09:00,132.42,248.44,116.16,140.13,137.775058,20879.81
2013-09-25 07:09:00,127.61,187.34,120.77,136.55,133.883203,6854.82
2013-09-25 11:09:00,136.55,160.26,128.48,133.65,144.234586,1918.32
2013-09-25 15:09:00,133.65,185.98,121.37,132.73,133.733788,19200.16
2013-09-25 19:09:00,132.73,186.6,121.74,148.26,133.623071,76207.91
2013-09-25 23:09:00,148.26,186.92,120.04,136.8,132.909507,45633.15
2013-09-26 03:09:00,136.8,194.76,98.75,147.56,134.104475,21757.11
2013-09-26 07:09:00,147.56,186.39,121.33,155.64,130.63929,7142.05
2013-09-26 11:09:00,155.64,186.58,126.22,186.58,134.640308,1924.01
2013-09-26 15:09:00,186.58,186.58,122.9,133.62,131.899694,17673.24
2013-09-26 19:09:00,133.62,186.88,123.08,141.96,132.391958,80365.89
2013-09-26 23:09:00,141.96,186.51,120.33,130,133.003667,45336.96
